Video_Link,Video_Views,Upload_date,Comments,Likes,Dislikes
https://www.youtube.com/watch?v=GFMXX8iLon8,"6,066","Feb 23, 2020",11,108,3
https://www.youtube.com/watch?v=L4X0Rf8WIvY,"2,832","Jan 25, 2020",18,84,4
https://www.youtube.com/watch?v=iWCyzJse9M4,"29,068","Dec 23, 2013",0,23,5
https://www.youtube.com/watch?v=bX_-RwUeEFk,"2,100","Mar 3, 2020",7,38,0
https://www.youtube.com/watch?v=fT_eUQjuYpY,951,"Dec 4, 2019",1,9,0
https://www.youtube.com/watch?v=aPvnlgkMgn4,"2,302","Nov 4, 2018",4,65,2
https://www.youtube.com/watch?v=IrwIH8nFyS0,"22,983","Sep 30, 2015",13,98,6
https://www.youtube.com/watch?v=pY1eeu5jq2w,922,"Mar 10, 2020",4,32,0
https://www.youtube.com/watch?v=YZnyKUO2jys,"1,778","Mar 28, 2020",4,30,1
https://www.youtube.com/watch?v=T3GZj-F_av0,"5,182","Dec 16, 2018",8,111,3
https://www.youtube.com/watch?v=aAy4OO3fg04,809,"Apr 22, 2019",0,6,0
https://www.youtube.com/watch?v=K20K4r99XwA,"21,147","Aug 22, 2015",26,75,4
https://www.youtube.com/watch?v=KH9hSGDGS_4,"18,666","Dec 23, 2013",18,32,9
https://www.youtube.com/watch?v=k5d19xhioBY,"2,315","Oct 12, 2018",10,13,0
https://www.youtube.com/watch?v=nkWMYaxba3M,"57,885","Oct 23, 2015",22,192,12
https://www.youtube.com/watch?v=Jh72H9cdyVM,416,"Nov 11, 2013",0,1,0
https://www.youtube.com/watch?v=JD7EdwJwwCw,"6,462","Aug 15, 2019",14,44,1
https://www.youtube.com/watch?v=KSOOQHX30YU,"5,548","Dec 14, 2010",0,3,4
https://www.youtube.com/watch?v=NINe-hifO8I,"2,115","Apr 25, 2020",2,13,0
https://www.youtube.com/watch?v=bhUJ9KUufwE,99,"Nov 4, 2019",0,4,0
https://www.youtube.com/watch?v=7AxJIBKul1w,"3,228","Jul 14, 2020",0,27,1
https://www.youtube.com/watch?v=y55TZspMqyM,"22,054","Sep 8, 2015",19,58,11
https://www.youtube.com/watch?v=eWLRYBHns48,307,"Dec 14, 2010",0,0,0
https://www.youtube.com/watch?v=cAAbhyP-s5g,"55,481","Oct 6, 2019",49,952,136
https://www.youtube.com/watch?v=EDDqrFZz04c,32,"Jun 21, 2020",1,8,0
https://www.youtube.com/watch?v=i1V0bJ61lWs,"81,620","Dec 10, 2016",24,407,17
https://www.youtube.com/watch?v=x3ZtdZxbw7c,"4,125","Dec 22, 2019",9,24,0
https://www.youtube.com/watch?v=gzBFZc_4o2o,"14,817","Sep 10, 2019",22,71,12
https://www.youtube.com/watch?v=pwFJsr4XxlI,"4,389","Feb 20, 2019",2,88,0
https://www.youtube.com/watch?v=le2aG7W4HRU,"6,867","Sep 28, 2015",9,49,2
https://www.youtube.com/watch?v=Yit4c91TmFM,"233,757","Sep 26, 2018",549,1.6K,119
https://www.youtube.com/watch?v=zJQIgr9_LCg,832,"Jan 3, 2019",4,4,0
https://www.youtube.com/watch?v=9xRmHOnFU5k,788,"Aug 13, 2015",0,5,0
https://www.youtube.com/watch?v=JyAOMweSDD8,626,"Jul 28, 2014",0,0,1
https://www.youtube.com/watch?v=LkaWwQ2n9lg,"552,407","Oct 11, 2015",107,1.1K,185
https://www.youtube.com/watch?v=xP9ZcFVSIxU,62,"Feb 5, 2017",0,1,0
https://www.youtube.com/watch?v=trIESql39VU,848,"May 19, 2020",3,9,0
https://www.youtube.com/watch?v=wdT2Ou3xKFQ,199,"Apr 11, 2020",4,2,0
https://www.youtube.com/watch?v=A6iYxtFDPAk,"11,464","Dec 7, 2016",3,66,2
https://www.youtube.com/watch?v=GZeBm6DDOHk,"40,453","Aug 9, 2015",13,125,12
https://www.youtube.com/watch?v=NRz2wOp14xI,46,"Dec 10, 2015",0,2,0
https://www.youtube.com/watch?v=J4yPXjGaKIM,10,"Oct 23, 2016",0,0,0
https://www.youtube.com/watch?v=4SNR2Xz60Jo,"4,315","Jun 24, 2014",2,11,2
https://www.youtube.com/watch?v=c4RVcHPrK48,32,"Jul 5, 2020",3,4,0
https://www.youtube.com/watch?v=ReThl2GbW4g,513,"May 24, 2020",2,14,0
https://www.youtube.com/watch?v=ReThl2GbW4g,513,"May 24, 2020",2,14,0
https://www.youtube.com/watch?v=elZNt9w-S5g,939,"Jan 26, 2020",4,11,1
https://www.youtube.com/watch?v=5tIPavTKzl8,58,"Jan 5, 2017",0,0,0
https://www.youtube.com/watch?v=7kOy75gGEa8,22,"Feb 16, 2017",0,0,0
https://www.youtube.com/watch?v=S5g-o0jPOFk,272,"Apr 5, 2020",1,29,0
https://www.youtube.com/watch?v=aSt5qn3-S5g,"1,697","Aug 2, 2015",0,8,1
https://www.youtube.com/watch?v=xh807W1ATBo,"88,839,591","Feb 29, 2012","3,169",47K,32K
https://www.youtube.com/watch?v=ET6VZ_oyrHY,"36,850,602","Feb 21, 2017","1,545",57K,14K
https://www.youtube.com/watch?v=EbifWu9KkvY,"1,660","Jul 28, 2020",0,3,2
https://www.youtube.com/watch?v=dleMfKt9mwM,"122,863","Feb 12, 2013",2,146,71
https://www.youtube.com/watch?v=J2zJSzlfXyY,790,"Mar 25, 2020",30,135,0
https://www.youtube.com/watch?v=ZQHm6wOsa4U,878,"Jul 27, 2020",0,5,1
https://www.youtube.com/watch?v=EndvOnPT6UI,"32,790","Dec 19, 2014",3,32,63
https://www.youtube.com/watch?v=JQdHNj5UCTM,712,"Nov 14, 2019",0,0,0
https://www.youtube.com/watch?v=aterKDMekUE,8,"Jul 29, 2020",0,3,0
https://www.youtube.com/watch?v=nxU-JnSD9e0,"28,903","Dec 5, 2016",5,136,8
https://www.youtube.com/watch?v=dhSfxXiEv-4,"5,521","Dec 5, 2016",0,26,3
https://www.youtube.com/watch?v=sysS6x0-Ggo,"2,184","Jan 29, 2020",0,21,0
https://www.youtube.com/watch?v=Cx-P9yHgEEg,"2,785","Apr 20, 2020",7,16,3
https://www.youtube.com/watch?v=ZZcJCopjCwk,739,"Apr 4, 2020",0,9,0
https://www.youtube.com/watch?v=_2vi0EnI7E8,418,"May 29, 2020",1,3,0
https://www.youtube.com/watch?v=gB7KHpwbwfA,187,"Jun 19, 2020",0,3,0
https://www.youtube.com/watch?v=0AP46cp_xEU,"1,936","Nov 21, 2019",0,5,1
https://www.youtube.com/watch?v=8ik_aBCTtFs,318,"May 13, 2020",0,2,0
https://www.youtube.com/watch?v=7Jdd5pkfFjM,"17,144","Apr 4, 2017",4,67,12
https://www.youtube.com/watch?v=KMf6fvdO7K0,"5,007","Mar 1, 2017",2,11,6
https://www.youtube.com/watch?v=bg3ZO1ARbBM,"1,130","Sep 28, 2019",1,9,0
https://www.youtube.com/watch?v=nxkaCJ5Qcjg,"13,203","Apr 20, 2019",1,52,5
https://www.youtube.com/watch?v=tlEYipNS9Ek,"1,156","Apr 14, 2020",0,8,2
https://www.youtube.com/watch?v=G0sgvIBjBio,"64,942","Dec 7, 2014",3,47,3
https://www.youtube.com/watch?v=Yic8I_CaiYk,262,"May 19, 2020",0,0,0
https://www.youtube.com/watch?v=5XvPckh-9MQ,"72,882","Aug 1, 2012",30,162,19
https://www.youtube.com/watch?v=MXvGVmFE-LE,"2,479","Dec 5, 2019",1,8,3
https://www.youtube.com/watch?v=6EhkDBJxOUY,"24,083","Dec 5, 2014",15,93,5
https://www.youtube.com/watch?v=5dBbO2BaOwM,"1,686","Premiered Apr 5, 2020",15,70,0
https://www.youtube.com/watch?v=gR2r3HXDxj0,"3,785","Oct 27, 2016",2,15,1
https://www.youtube.com/watch?v=OZs0TYkVsrE,"2,672","Apr 30, 2020",17,19,1
https://www.youtube.com/watch?v=rtIUOh01i8M,"10,220","Jun 24, 2019",1,37,5
https://www.youtube.com/watch?v=4sC0NoRNgt4,"5,285","Mar 18, 2019",0,9,1
https://www.youtube.com/watch?v=Ex9sE4BMo8c,"14,161","Jan 30, 2018",0,6,0
https://www.youtube.com/watch?v=9jr54xmXIrY,583,"Jun 21, 2019",1,4,0
https://www.youtube.com/watch?v=srQDTwVQIzk,"3,239","Oct 19, 2017",10,100,0
https://www.youtube.com/watch?v=rgVfQS8iBMY,"2,496","Jun 18, 2020",0,3,2
https://www.youtube.com/watch?v=N6jcGHofCaI,"37,807","Feb 10, 2018",16,177,18
https://www.youtube.com/watch?v=gf6xb5UNG90,"1,435","Jun 24, 2019",0,5,0
https://www.youtube.com/watch?v=IxuwGGPTKEE,343,"Apr 17, 2020",0,1,0
https://www.youtube.com/watch?v=KZ5o2Rxzits,"2,598","Apr 1, 2017",1,20,2
https://www.youtube.com/watch?v=rBcZ9NZIvsE,"91,173","Mar 20, 2008",55,94,30
https://www.youtube.com/watch?v=_wfpFtr_mR0,"6,127","Dec 12, 2016",1,80,1
https://www.youtube.com/watch?v=PElVg6E5bsE,"1,088","Jan 10, 2020",0,3,0
https://www.youtube.com/watch?v=XDLSY5JB3XM,"7,043","Nov 15, 2018",0,13,3
https://www.youtube.com/watch?v=_ovNl058XEo,250,"Jun 11, 2020",0,4,0
https://www.youtube.com/watch?v=Cb4lY5GCSmY,"63,591","Jan 30, 2019",12,95,27
https://www.youtube.com/watch?v=bBenLeW_pNU,"21,935","Aug 21, 2013",3,136,2
https://www.youtube.com/watch?v=0WUHNCapLDY,"7,085","Nov 15, 2012",2,17,3
https://www.youtube.com/watch?v=_rCmtXg7M0Y,"1,021","Dec 5, 2019",2,7,0
https://www.youtube.com/watch?v=66xnt43F444,"1,310","Apr 14, 2020",7,18,0
https://www.youtube.com/watch?v=1WT_fLxZhZI,"20,225","Nov 5, 2008",19,36,1
